Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Cardiff City,Steve Williams,18,Wales,Goalkeeper,GK,-,Coventry City,England,Free transfer,In,1993,s,championship
Cardiff City,Garry Thompson,33,England,Forward,Forward,-,Queens Park Rangers,England,Free transfer,In,1993,s,championship
Cardiff City,Alan Knill,28,Wales,Centre-Back,CB,-,Bury FC,England,Loan,In,1993,s,championship
Cardiff City,Terry Evans,17,Wales,Right-Back,RB,-,,Unknown,?,In,1993,s,championship
Fulham FC,Paul Mahorn,20,England,Forward,Forward,-,Tottenham Hotspur,England,Loan,In,1993,s,championship
Fulham FC,Terry Angus,27,England,Centre-Back,CB,-,Northampton Town,England,?,In,1993,s,championship
Huddersfield Town,Steve Francis,29,England,Goalkeeper,GK,-,Reading FC,England,£203k,In,1993,s,championship
Huddersfield Town,Kevin Blackwell,34,England,Goalkeeper,GK,-,Torquay United FC,England,Free transfer,In,1993,s,championship
Huddersfield Town,Steve Harkness,22,England,Left-Back,LB,-,Liverpool FC,England,Loan,In,1993,s,championship
Huddersfield Town,Timothy Clarke,24,England,Goalkeeper,GK,-,Rochdale AFC,England,?,In,1993,s,championship
Huddersfield Town,Andy Williams,30,England,Midfielder,Midfielder,-,Notts County,England,Loan,In,1993,s,championship
Leeds United,Brian Deane,25,England,Centre-Forward,CF,-,Sheffield United,England,£3.92m,In,1993,s,championship
Leeds United,David O'Leary,35,Ireland,Centre-Back,CB,-,Arsenal FC,England,?,In,1993,s,championship
Leeds United,Ray Wallace,24,England,Defender,Defender,-,Reading FC,England,"End of loanMay 31, 1994",In,1993,s,championship
Leeds United,Mark Ford,17,England,Midfielder,Midfielder,-,Leeds United U18,England,-,In,1993,s,championship
Leeds United,Frank Strandli,21,Norway,Centre-Forward,CF,-,IK Start,Norway,"End of loanJul 31, 1993",In,1993,s,championship
West Bromwich Albion,Neil Cutler,16,England,Goalkeeper,GK,-,West Bromwich Albion U18,England,-,In,1993,s,championship
Derby County,John Harkes,26,United States,Right Midfield,RM,-,Sheffield Wednesday,England,£1.08m,In,1993,s,championship
Derby County,Gary Charles,23,England,Right-Back,RB,-,Nottingham Forest,England,?,In,1993,s,championship
Derby County,Kevin Cooper,18,England,Left Midfield,LM,-,Derby County U18,England,-,In,1993,s,championship
Middlesbrough FC,Anthony Barness,20,England,Right-Back,RB,-,Chelsea FC,England,Loan,In,1993,s,championship
