Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Atlético Madrid,Luis García,23,Mexico,Forward,Forward,-,UNAM Pumas,Mexico,?,In,1992,s,laliga
Atlético Madrid,Manolo Alfaro,21,Spain,Centre-Forward,CF,-,Atlético Madrid B,Spain,-,In,1992,s,laliga
Atlético Madrid,Pizo Gómez,28,Spain,Midfielder,Midfielder,-,RCD Espanyol Barcelona,Spain,"End of loanJun 30, 1992",In,1992,s,laliga
FC Barcelona,Pablo Alfaro,23,Spain,Centre-Back,CB,-,Real Zaragoza,Spain,£1.35m,In,1992,s,laliga
FC Barcelona,Goran Vucevic,21,Croatia,Central Midfield,CM,-,HNK Hajduk Split,Croatia,£450Th.,In,1992,s,laliga
FC Barcelona,Quique Estebaranz,26,Spain,Centre-Forward,CF,-,CD Tenerife,Spain,?,In,1992,s,laliga
FC Barcelona,Miquel Soler,27,Spain,Left-Back,LB,-,Atlético Madrid,Spain,?,In,1992,s,laliga
FC Barcelona,Sebastián Herrera,23,Spain,Centre-Back,CB,-,RCD Mallorca,Spain,"End of loanJun 1, 1992",In,1992,s,laliga
Real Zaragoza,José Ramón Bermell,30,Spain,Goalkeeper,GK,-,Cádiz CF,Spain,?,In,1992,s,laliga
Real Zaragoza,Santi Aragón,24,Spain,Central Midfield,CM,-,Real Valladolid CF,Spain,?,In,1992,s,laliga
Real Zaragoza,Andreas Brehme,31,Germany,Left-Back,LB,-,FC Internazionale,Italy,?,In,1992,s,laliga
Real Zaragoza,Carlos Cuartero,16,Spain,Right-Back,RB,-,Real Zaragoza B,Spain,-,In,1992,s,laliga
CD Logroñés,Oleg Salenko,22,Russia,Centre-Forward,CF,-,Dynamo Kyiv,Ukraine,?,In,1992,s,laliga
CD Logroñés,Amarildo,27,Brazil,Forward,Forward,-,FC Famalicão,Portugal,?,In,1992,s,laliga
CD Logroñés,Francisco Antón,24,Spain,Left-Back,LB,-,UD Salamanca,Spain,?,In,1992,s,laliga
CD Logroñés,Marcelo Vega,20,Chile,Attacking Midfield,AM,-,Unión Española,Chile,?,In,1992,s,laliga
CD Logroñés,Romero,21,Spain,Left-Back,LB,-,CD Logroñés B,Spain,-,In,1992,s,laliga
CD Logroñés,Jesús Dulce,21,Spain,Right-Back,RB,-,CD Logroñés B,Spain,-,In,1992,s,laliga
CA Osasuna,Roman Kosecki,26,Poland,Centre-Forward,CF,-,Galatasaray SK,Turkey,?,In,1992,s,laliga
CA Osasuna,Sánchez Jara,22,Spain,Midfielder,Midfielder,-,,Unknown,?,In,1992,s,laliga
CA Osasuna,Patxi Iru,29,Spain,Goalkeeper,GK,-,Athletic Bilbao,Spain,?,In,1992,s,laliga
Rayo Vallecano,Paco Jémez,22,Spain,Centre-Back,CB,-,Real Murcia CF,Spain,?,In,1992,s,laliga
Rayo Vallecano,Pizo Gómez,28,Spain,Midfielder,Midfielder,-,Atlético Madrid,Spain,Loan,In,1992,s,laliga
Rayo Vallecano,Javi García,22,Spain,Forward,Forward,-,FC Barcelona B,Spain,?,In,1992,s,laliga
Rayo Vallecano,Pablo Gómez,22,Spain,Central Midfield,CM,-,Unió Esportiva Lleida,Spain,?,In,1992,s,laliga
Rayo Vallecano,Toni Jiménez,21,Spain,Goalkeeper,GK,-,UE Figueres,Spain,?,In,1992,s,laliga
Rayo Vallecano,Toni Polster,28,Austria,Centre-Forward,CF,-,CD Logroñés,Spain,?,In,1992,s,laliga
Rayo Vallecano,Josip Visnjic,25,Serbia,Defensive Midfield,DM,-,CP Mérida,Spain,?,In,1992,s,laliga
Rayo Vallecano,Manuel Momparlet,25,Spain,Centre-Back,CB,-,Marbella FC,Spain,?,In,1992,s,laliga
Rayo Vallecano,Manuel Carou,23,Spain,Goalkeeper,GK,-,Rayo Vallecano B,Spain,-,In,1992,s,laliga
Sevilla FC,Diego Simeone,22,Argentina,Central Midfield,CM,-,AC Pisa 1909,Italy,?,In,1992,s,laliga
Sevilla FC,Ricardo Bango,23,Spain,Midfielder,Midfielder,-,Real Oviedo,Spain,?,In,1992,s,laliga
Sevilla FC,Losada,24,Spain,Forward,Forward,-,Atlético Madrid,Spain,?,In,1992,s,laliga
Sevilla FC,Javi Pineda,20,Spain,Attacking Midfield,AM,-,Sevilla FC B,Spain,-,In,1992,s,laliga
Sevilla FC,Diego Maradona,31,Argentina,Attacking Midfield,AM,-,,Ban,-,In,1992,s,laliga
Real Madrid,Iván Zamorano,25,Chile,Centre-Forward,CF,-,Sevilla FC,Spain,£3.15m,In,1992,s,laliga
Real Madrid,Nando,24,Spain,Centre-Back,CB,-,FC Barcelona,Spain,?,In,1992,s,laliga
Real Madrid,Juanmi,21,Spain,Goalkeeper,GK,-,Real Madrid B,Spain,-,In,1992,s,laliga
Real Madrid,Luis Miguel Ramis,21,Spain,Centre-Back,CB,-,Real Madrid B,Spain,-,In,1992,s,laliga
Real Madrid,Ismael Urzaiz,20,Spain,Centre-Forward,CF,-,Albacete Balompié,Spain,"End of loanJun 30, 1992",In,1992,s,laliga
Real Madrid,Santiago Cañizares,22,Spain,Goalkeeper,GK,-,CP Mérida,Spain,"End of loanJun 30, 1992",In,1992,s,laliga
Athletic Bilbao,Julen Guerrero,18,Spain,Attacking Midfield,AM,-,Bilbao Athletic,Spain,-,In,1992,s,laliga
Athletic Bilbao,Carlos García,21,Spain,Defensive Midfield,DM,-,Bilbao Athletic,Spain,-,In,1992,s,laliga
