Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Milan AC,Jean-Pierre Papin,28,France,Centre-Forward,CF,-,Olympique Marseille,France,£10.80m,In,1992,s,serie-a,https://www.transfermarkt.co.uk/jean-pierre-papin/profil/spieler/17168
Milan AC,Gianluigi Lentini,23,Italy,Right Winger,RW,-,Torino Calcio,Italy,£8.60m,In,1992,s,serie-a,https://www.transfermarkt.co.uk/gianluigi-lentini/profil/spieler/171685
Milan AC,Dejan Savicevic,25,Montenegro,Attacking Midfield,AM,-,Red Star Belgrade,Serbia,£4.14m,In,1992,s,serie-a,https://www.transfermarkt.co.uk/dejan-savicevic/profil/spieler/35894
Milan AC,Stefano Eranio,25,Italy,Right Midfield,RM,-,Genoa 1893,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/stefano-eranio/profil/spieler/4227
Milan AC,Fernando De Napoli,28,Italy,Central Midfield,CM,-,SSC Napoli,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/fernando-de-napoli/profil/spieler/116755
Milan AC,Guido Bistazzoni,32,Italy,Goalkeeper,GK,-,Taranto FC 1927,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/guido-bistazzoni/profil/spieler/169648
Milan AC,Martino Traversa,18,Italy,Right-Back,RB,-,Bologna FC 1909,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/martino-traversa/profil/spieler/222786
Milan AC,Davide Dionigi,18,Italy,Centre-Forward,CF,-,Modena FC,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/davide-dionigi/profil/spieler/28015
Milan AC,Carlo Cudicini,18,Italy,Goalkeeper,GK,-,Milan Primavera,Italy,-,In,1992,s,serie-a,https://www.transfermarkt.co.uk/carlo-cudicini/profil/spieler/3151
Milan AC,Giuseppe Cardone,18,Italy,Right-Back,RB,-,Milan Primavera,Italy,-,In,1992,s,serie-a,https://www.transfermarkt.co.uk/giuseppe-cardone/profil/spieler/16811
Milan AC,Costantino Borneo,19,Italy,Centre-Forward,CF,-,Milan Primavera,Italy,-,In,1992,s,serie-a,https://www.transfermarkt.co.uk/costantino-borneo/profil/spieler/433133
Milan AC,Giuseppe Zappella,19,Italy,Right-Back,RB,-,Milan Primavera,Italy,-,In,1992,s,serie-a,https://www.transfermarkt.co.uk/giuseppe-zappella/profil/spieler/335880
AS Roma,Sinisa Mihajlovic,23,Serbia,Centre-Back,CB,-,Red Star Belgrade,Serbia,£4.05m,In,1992,s,serie-a,https://www.transfermarkt.co.uk/sinisa-mihajlovic/profil/spieler/5834
AS Roma,Fabio Petruzzi,21,Italy,Centre-Back,CB,-,US Casertana,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/fabio-petruzzi/profil/spieler/5968
AS Roma,Dario Rossi,19,Italy,Defender,Defender,-,PC Ternana,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/dario-rossi/profil/spieler/227785
Brescia Calcio,Gheorghe Hagi,27,Romania,Attacking Midfield,AM,-,Real Madrid,Spain,£1.80m,In,1992,s,serie-a,https://www.transfermarkt.co.uk/gheorghe-hagi/profil/spieler/7939
Brescia Calcio,Ovidiu Sabau,24,Romania,Central Midfield,CM,-,Feyenoord Rotterdam,Netherlands,£1.43m,In,1992,s,serie-a,https://www.transfermarkt.co.uk/ovidiu-sabau/profil/spieler/104071
Brescia Calcio,Massimo Giannelli,22,Italy,Attacking Midfield,AM,-,CPR Ospitaletto,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/massimo-giannelli/profil/spieler/222790
Brescia Calcio,Gabriele Pelati,18,Italy,Defender,Defender,-,,Unknown,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/gabriele-pelati/profil/spieler/255640
Brescia Calcio,Fabio Gallo,21,Italy,Defensive Midfield,DM,-,AC Spezia,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/fabio-gallo/profil/spieler/23358
Brescia Calcio,Massimo Paganin,21,Italy,Centre-Back,CB,-,AC Reggiana,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/massimo-paganin/profil/spieler/22207
Brescia Calcio,Nicola Marangon,21,Italy,Right-Back,RB,-,CPR Ospitaletto,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/nicola-marangon/profil/spieler/222792
Brescia Calcio,Paolo Negro,20,Italy,Centre-Back,CB,-,Bologna FC 1909,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/paolo-negro/profil/spieler/5835
Brescia Calcio,Marco Landucci,28,Italy,Goalkeeper,GK,-,AS Lucchese Libertas,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/marco-landucci/profil/spieler/120404
Brescia Calcio,Luca Brunetti,27,Italy,Defender,Defender,-,Taranto FC 1927,Italy,?,In,1992,s,serie-a,https://www.transfermarkt.co.uk/luca-brunetti/profil/spieler/224926
Brescia Calcio,Marco Piovanelli,18,Italy,Midfielder,Midfielder,-,Brescia Primavera,Italy,-,In,1992,s,serie-a,https://www.transfermarkt.co.uk/marco-piovanelli/profil/spieler/224943
FC Internazionale,Darko Pancev,26,North Macedonia,Centre-Forward,CF,-,Red Star Belgrade,Serbia,£10.80m,In,1992,s,serie-a,https://www.transfermarkt.co.uk/darko-pancev/profil/spieler/100098
FC Internazionale,Igor Shalimov,23,Russia,Attacking Midfield,AM,-,Foggia Calcio,Italy,£6.08m,In,1992,s,serie-a,https://www.transfermarkt.co.uk/igor-shalimov/profil/spieler/88150
FC Internazionale,Rubén Sosa,26,Uruguay,Centre-Forward,CF,-,SS Lazio,Italy,£5.40m,In,1992,s,serie-a,https://www.transfermarkt.co.uk/ruben-sosa/profil/spieler/22455
