Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
FC Girondins Bordeaux,Richard Witschge,23,Netherlands,Central Midfield,CM,-,FC Barcelona,Spain,?,In,1993,s,ligue-1
FC Girondins Bordeaux,Stéphane Paille,28,France,Centre-Forward,CF,-,SM Caen,France,?,In,1993,s,ligue-1
FC Girondins Bordeaux,Marcel Dib,32,France,Central Midfield,CM,-,AS Monaco,France,?,In,1993,s,ligue-1
FC Girondins Bordeaux,Youssouf Fofana,26,Cote d'Ivoire,Left Winger,LW,-,AS Monaco,France,?,In,1993,s,ligue-1
FC Girondins Bordeaux,Philippe Vercruysse,31,France,Attacking Midfield,AM,-,Nîmes Olympique,France,?,In,1993,s,ligue-1
FC Girondins Bordeaux,François Grenet,18,France,Right-Back,RB,-,FC Girondins Bordeaux U19,France,-,In,1993,s,ligue-1
FC Girondins Bordeaux,Régis Castant,19,France,Right Midfield,RM,-,FC Girondins Bordeaux B,France,-,In,1993,s,ligue-1
FC Girondins Bordeaux,Stéphan Lerda,22,France,Centre-Back,CB,-,Nîmes Olympique,France,-,In,1993,s,ligue-1
FC Girondins Bordeaux,Yannick Fischer,18,France,Centre-Back,CB,-,FC Girondins Bordeaux B,France,-,In,1993,s,ligue-1
AS Monaco,Victor Ikpeba,20,Nigeria,Centre-Forward,CF,-,RC Lüttich,Belgium,?,In,1993,s,ligue-1
AS Monaco,Sam Dominique Abouo,19,Cote d'Ivoire,Centre-Back,CB,-,ASEC Mimosas,Cote d'Ivoire,?,In,1993,s,ligue-1
AS Monaco,Franck Passi,27,France,Defensive Midfield,DM,-,Sporting Club de Toulon 83,France,?,In,1993,s,ligue-1
AS Monaco,Amara Simba,31,France,Centre-Forward,CF,-,Paris Saint-Germain,France,?,In,1993,s,ligue-1
AS Monaco,Enzo Scifo,27,Belgium,Attacking Midfield,AM,-,Torino Calcio,Italy,?,In,1993,s,ligue-1
AS Monaco,Laurent Viaud,23,France,Defensive Midfield,DM,-,SCO Angers,France,?,In,1993,s,ligue-1
AS Monaco,Sébastien Hamel,17,France,Goalkeeper,GK,-,AS Monaco U19,Monaco,-,In,1993,s,ligue-1
AS Monaco,Christopher Wreh,18,Liberia,Centre-Forward,CF,-,AS Monaco B,Monaco,-,In,1993,s,ligue-1
Olympique Marseille,Daniel Dutuel,25,France,Attacking Midfield,AM,-,AJ Auxerre,France,?,In,1993,s,ligue-1
Olympique Marseille,Gilles Rousset,29,France,Goalkeeper,GK,-,Olympique Lyon,France,?,In,1993,s,ligue-1
Olympique Marseille,William Prunier,25,France,Centre-Back,CB,-,AJ Auxerre,France,?,In,1993,s,ligue-1
Olympique Marseille,Pascal Fugier,24,France,Right-Back,RB,-,Olympique Lyon,France,?,In,1993,s,ligue-1
Olympique Marseille,Stéphane Porato,19,France,Goalkeeper,GK,-,Sporting Club de Toulon 83,France,?,In,1993,s,ligue-1
Olympique Marseille,Rui Barros,27,Portugal,Attacking Midfield,AM,-,AS Monaco,France,?,In,1993,s,ligue-1
Olympique Marseille,Fabrice Henry,25,France,Central Midfield,CM,-,FC Sochaux-Montbéliard,France,?,In,1993,s,ligue-1
Olympique Marseille,Jean-Christophe Marquet,20,France,Left-Back,LB,-,AS Cannes,France,"End of loanJun 30, 1994",In,1993,s,ligue-1
Olympique Marseille,Hamada Jambay,18,Madagascar,Right-Back,RB,-,Olympique Marseille U19,France,-,In,1993,s,ligue-1
Olympique Marseille,Olivier Echouafni,20,France,Defensive Midfield,DM,-,Olympique de Marseille B,France,-,In,1993,s,ligue-1
Olympique Marseille,Marc Libbra,20,France,Centre-Forward,CF,-,FC Istres Ville Nouvelle ,France,"End of loanJun 30, 1993",In,1993,s,ligue-1
Olympique Marseille,Alain Boghossian,22,France,Central Midfield,CM,-,FC Istres Ville Nouvelle ,France,"End of loanJun 30, 1993",In,1993,s,ligue-1
AJ Auxerre,Philippe Violeau,22,France,Defensive Midfield,DM,-,FC Chamois Niort,France,Free transfer,In,1993,s,ligue-1
AJ Auxerre,Taribo West,19,Nigeria,Left-Back,LB,-,Julius Berger FC,Nigeria,?,In,1993,s,ligue-1
AJ Auxerre,Yann Lachuer,20,France,Attacking Midfield,AM,-,Union sportive Créteil,France,?,In,1993,s,ligue-1
AJ Auxerre,Franck Silvestre,26,France,Centre-Back,CB,-,FC Sochaux-Montbéliard,France,?,In,1993,s,ligue-1
AJ Auxerre,Christian Henna,21,France,Defensive Midfield,DM,-,FC Mulhouse Sud-Alsace,France,?,In,1993,s,ligue-1
AJ Auxerre,Franco Vignola,26,France,Forward,Forward,-,EA Guingamp,France,"End of loanJun 30, 1993",In,1993,s,ligue-1
FC Metz,Thomas Kokkinis,21,France,Goalkeeper,GK,-,,Unknown,Free transfer,In,1993,s,ligue-1
FC Metz,Jacques Songo'o,29,Cameroon,Goalkeeper,GK,-,Le Mans Union Club 72,France,?,In,1993,s,ligue-1
FC Metz,Philippe Gaillot,28,France,Left-Back,LB,-,Union Sportive Valenciennes-Anzin Arrondissement,France,?,In,1993,s,ligue-1
FC Metz,Patrice Eyraud,25,France,Defensive Midfield,DM,-,Sporting Club de Toulon 83,France,?,In,1993,s,ligue-1
FC Metz,Jeff Strasser,18,Luxembourg,Centre-Back,CB,-,FC Metz B,France,-,In,1993,s,ligue-1
FC Metz,Cyrille Pouget,20,France,Centre-Forward,CF,-,FC Metz B,France,-,In,1993,s,ligue-1
FC Metz,Benoît Lahery,20,France,Forward,Forward,-,FC Metz B,France,-,In,1993,s,ligue-1
FC Metz,Samba N'Diaye,20,Senegal,Centre-Forward,CF,-,LOSC Lille,France,"End of loanJun 30, 1993",In,1993,s,ligue-1
FC Metz,Emmanuel Clément,21,France,Defensive Midfield,DM,-,SC Amiens,France,"End of loanJun 30, 1993",In,1993,s,ligue-1
FC Toulouse,Nicolas Bastère,24,France,Forward,Forward,-,AS Cannes,France,?,In,1993,s,ligue-1
FC Toulouse,Olivier Pickeu,23,France,Centre-Forward,CF,-,HSC Montpellier,France,?,In,1993,s,ligue-1
FC Toulouse,Sylvain Kastendeuch,29,France,Sweeper,SW,-,AS Saint-Étienne,France,?,In,1993,s,ligue-1
FC Toulouse,Alain Gouaméné,27,Cote d'Ivoire,Goalkeeper,GK,-,ASEC Mimosas,Cote d'Ivoire,?,In,1993,s,ligue-1
FC Toulouse,Fabrice Quarcy,17,France,Goalkeeper,GK,-,FC Toulouse U19,France,-,In,1993,s,ligue-1
FC Toulouse,Nicolas Paviot,18,France,Right-Back,RB,-,FC Toulouse B,France,-,In,1993,s,ligue-1
FC Toulouse,Mickaël Serreau,18,France,Right Midfield,RM,-,FC Toulouse B,France,-,In,1993,s,ligue-1
FC Toulouse,Teddy Richert,18,France,Goalkeeper,GK,-,FC Toulouse B,France,-,In,1993,s,ligue-1
FC Toulouse,David Dupuy,20,France,Midfielder,Midfielder,-,FC Toulouse B,France,-,In,1993,s,ligue-1
Paris Saint-Germain,Raí,28,Brazil,Attacking Midfield,AM,-,São Paulo Futebol Clube,Brazil,£4.50m,In,1993,s,ligue-1
Paris Saint-Germain,Patrick M'Boma,23,Cameroon,Centre-Forward,CF,-,LB Châteauroux,France,"End of loanJun 30, 1994",In,1993,s,ligue-1
Paris Saint-Germain,Xavier Gravelaine,24,France,Centre-Forward,CF,-,SM Caen,France,?,In,1993,s,ligue-1
Paris Saint-Germain,Luc Borrelli,27,France,Goalkeeper,GK,-,Sporting Club de Toulon 83,France,?,In,1993,s,ligue-1
Paris Saint-Germain,José Cobos,25,France,Left-Back,LB,-,RC Strasbourg Alsace,France,?,In,1993,s,ligue-1
Paris Saint-Germain,Jean-Claude Fernandes,20,France,Defensive Midfield,DM,-,Paris Saint-Germain U19,France,-,In,1993,s,ligue-1
AS Saint-Étienne,Roland Wohlfarth,30,Germany,Centre-Forward,CF,-,Bayern Munich,Germany,£1.13m,In,1993,s,ligue-1
AS Saint-Étienne,Lionel Potillon,19,France,Left-Back,LB,-,CS Louhans-Cuiseaux 71,France,Free transfer,In,1993,s,ligue-1
AS Saint-Étienne,Laurent Blanc,27,France,Sweeper,SW,-,Nîmes Olympique,France,?,In,1993,s,ligue-1
AS Saint-Étienne,Piotr Swierczewski,21,Poland,Defensive Midfield,DM,-,GKS Katowice,Poland,?,In,1993,s,ligue-1
AS Saint-Étienne,Jean-Philippe Delpech,25,France,Defensive Midfield,DM,-,FC Toulouse,France,?,In,1993,s,ligue-1
AS Saint-Étienne,Grégory Coupet,20,France,Goalkeeper,GK,-,AS Saint-Étienne B,France,-,In,1993,s,ligue-1
AS Saint-Étienne,Sébastien Pérez,19,France,Right-Back,RB,-,AS Saint-Étienne B,France,-,In,1993,s,ligue-1
