Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Milan AC,Ruud Gullit,31,Netherlands,Second Striker,SS,-,UC Sampdoria,Italy,£540Th.,In,1994,s,serie-a
Milan AC,Massimo Orlando,23,Italy,Forward,Forward,-,AC Fiorentina,Italy,?,In,1994,s,serie-a
Milan AC,Gianluca Sordo,24,Italy,Right Midfield,RM,-,Torino Calcio,Italy,?,In,1994,s,serie-a
Milan AC,Giovanni Stroppa,26,Italy,Attacking Midfield,AM,-,Foggia Calcio,Italy,?,In,1994,s,serie-a
Milan AC,Cristian Brocchi,18,Italy,Central Midfield,CM,-,Milan Primavera,Italy,-,In,1994,s,serie-a
Milan AC,Roberto Colombo,18,Italy,Goalkeeper,GK,-,Milan Primavera,Italy,-,In,1994,s,serie-a
Milan AC,Massimo Oddo,18,Italy,Right-Back,RB,-,Milan Primavera,Italy,-,In,1994,s,serie-a
Milan AC,Francesco De Francesco,16,Italy,Second Striker,SS,-,Milan Primavera,Italy,-,In,1994,s,serie-a
AS Roma,Giampiero Maini,22,Italy,Defensive Midfield,DM,-,Ascoli Calcio 1898,Italy,?,In,1994,s,serie-a
AS Roma,Daniel Fonseca,24,Uruguay,Centre-Forward,CF,-,SSC Napoli,Italy,?,In,1994,s,serie-a
AS Roma,Andrea Borsa,22,Italy,Centre-Back,CB,-,US Pistoiese 1921,Italy,?,In,1994,s,serie-a
AS Roma,Jonas Thern,27,Sweden,Central Midfield,CM,-,SSC Napoli,Italy,?,In,1994,s,serie-a
AS Roma,Francesco Statuto,22,Italy,Central Midfield,CM,-,Udinese Calcio,Italy,?,In,1994,s,serie-a
AS Roma,Francesco Colonnese,22,Italy,Centre-Back,CB,-,US Cremonese,Italy,?,In,1994,s,serie-a
AS Roma,Francesco Moriero,25,Italy,Right Winger,RW,-,Cagliari Calcio,Italy,?,In,1994,s,serie-a
AS Roma,Ferro Tontini,24,Italy,Goalkeeper,GK,-,Modena FC,Italy,?,In,1994,s,serie-a
AS Roma,Dario Rossi,21,Italy,Defender,Defender,-,Modena FC,Italy,?,In,1994,s,serie-a
AS Roma,Andrea Cupi,18,Italy,Centre-Back,CB,-,Roma Primavera,Italy,-,In,1994,s,serie-a
AS Roma,Sandro Mazzoni,20,Italy,Midfielder,Midfielder,-,Roma Primavera,Italy,-,In,1994,s,serie-a
AS Roma,Giampaolo Di Magno,20,Italy,Goalkeeper,GK,-,Roma Primavera,Italy,-,In,1994,s,serie-a
AS Roma,Lorenzo Stovini,17,Italy,Centre-Back,CB,-,Roma Primavera,Italy,-,In,1994,s,serie-a
Brescia Calcio,Marco Ballotta,30,Italy,Goalkeeper,GK,-,AC Parma,Italy,?,In,1994,s,serie-a
Brescia Calcio,Sergio Battistini,31,Italy,Defensive Midfield,DM,-,FC Internazionale,Italy,?,In,1994,s,serie-a
Brescia Calcio,Antonio Bernardi,17,Italy,Forward,Forward,-,AS Ostiamare Lido Calcio,Italy,?,In,1994,s,serie-a
Brescia Calcio,Davide Ratti,18,Italy,Forward,Forward,-,Carrarese Calcio 1908,Italy,?,In,1994,s,serie-a
Brescia Calcio,Stefano Borgonovo,30,Italy,Forward,Forward,-,Udinese Calcio,Italy,Loan,In,1994,s,serie-a
Brescia Calcio,Ivan Gamberini,26,Italy,Goalkeeper,GK,-,AC Spezia,Italy,?,In,1994,s,serie-a
Brescia Calcio,Danut Lupu,27,Romania,Attacking Midfield,AM,-,FC Rapid 1923,Romania,?,In,1994,s,serie-a
Brescia Calcio,Luigi Corino,28,Italy,Defender,Defender,-,SS Lazio,Italy,?,In,1994,s,serie-a
Brescia Calcio,Fabrizio Baldini,21,Italy,Midfielder,Midfielder,-,AC Pisa 1909,Italy,?,In,1994,s,serie-a
Brescia Calcio,Roberto Baronio,16,Italy,Defensive Midfield,DM,-,Brescia Primavera,Italy,-,In,1994,s,serie-a
Brescia Calcio,Nicola Pavarini,20,Italy,Goalkeeper,GK,-,Brescia Primavera,Italy,-,In,1994,s,serie-a
FC Internazionale,Pierluigi Orlandini,21,Italy,Right Midfield,RM,-,Atalanta BC,Italy,?,In,1994,s,serie-a
FC Internazionale,Giovanni Bia,25,Italy,Centre-Back,CB,-,SSC Napoli,Italy,?,In,1994,s,serie-a
FC Internazionale,Luca Mondini,24,Italy,Goalkeeper,GK,-,Como Calcio,Italy,?,In,1994,s,serie-a
FC Internazionale,Andrea Seno,28,Italy,Central Midfield,CM,-,Foggia Calcio,Italy,?,In,1994,s,serie-a
FC Internazionale,Gianluca Pagliuca,27,Italy,Goalkeeper,GK,-,UC Sampdoria,Italy,?,In,1994,s,serie-a
FC Internazionale,Andrea Zanchetta,19,Italy,Central Midfield,CM,-,Inter Milan Primavera,Italy,-,In,1994,s,serie-a
FC Internazionale,Marco Fortin,19,Italy,Goalkeeper,GK,-,Inter Milan Primavera,Italy,-,In,1994,s,serie-a
AC Parma,Dino Baggio,22,Italy,Defensive Midfield,DM,-,Juventus FC,Italy,£4.05m,In,1994,s,serie-a
AC Parma,Fernando Couto,24,Portugal,Centre-Back,CB,-,FC Porto,Portugal,£2.43m,In,1994,s,serie-a
AC Parma,Marcello Castellini,21,Italy,Centre-Back,CB,-,AC Perugia,Italy,?,In,1994,s,serie-a
AC Parma,Marco Branca,29,Italy,Centre-Forward,CF,-,Udinese Calcio,Italy,?,In,1994,s,serie-a
AC Parma,Gianfranco Circati,23,Italy,Defender,Defender,-,US Salernitana,Italy,?,In,1994,s,serie-a
AC Parma,Giovanni Galli,36,Italy,Goalkeeper,GK,-,Torino Calcio,Italy,?,In,1994,s,serie-a
AC Parma,Massimo Susic,27,Italy,Centre-Back,CB,-,AC Pisa 1909,Italy,?,In,1994,s,serie-a
AC Parma,Diego Pellegrini,23,Italy,Centre-Back,CB,-,Vicenza Calcio,Italy,?,In,1994,s,serie-a
