Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Manchester United,Cristiano Ronaldo,18,Portugal,Left Winger,LW,-,Sporting CP,Portugal,£17.10m,In,2003,s,premier-league,https://www.transfermarkt.co.uk/cristiano-ronaldo/profil/spieler/8198
Manchester United,Kléberson,24,Brazil,Central Midfield,CM,-,Atlético Paranaense,Brazil,£7.74m,In,2003,s,premier-league,https://www.transfermarkt.co.uk/kleberson/profil/spieler/3365
Manchester United,Eric Djemba Djemba,22,Cameroon,Defensive Midfield,DM,-,FC Nantes,France,£4.05m,In,2003,s,premier-league,https://www.transfermarkt.co.uk/eric-djemba-djemba/profil/spieler/5509
Manchester United,Tim Howard,24,United States,Goalkeeper,GK,-,MetroStars,United States,£2.88m,In,2003,s,premier-league,https://www.transfermarkt.co.uk/tim-howard/profil/spieler/4267
Manchester United,David Bellion,20,France,Centre-Forward,CF,-,Sunderland AFC,England,£2.70m,In,2003,s,premier-league,https://www.transfermarkt.co.uk/david-bellion/profil/spieler/3115
Manchester United,Danny Byrne,18,Ireland,Defender,Defender,-,,Unknown,?,In,2003,s,premier-league,https://www.transfermarkt.co.uk/danny-byrne/profil/spieler/312983
Manchester United,Phil Bardsley,18,Scotland,Right-Back,RB,-,Manchester United U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/phil-bardsley/profil/spieler/15773
Manchester United,Adam Eckersley,17,England,Left-Back,LB,-,Manchester United U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/adam-eckersley/profil/spieler/37138
Manchester United,Eddie Johnson,19,England,Centre-Forward,CF,-,Royal Antwerp FC,Belgium,"End of loanMay 1, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/eddie-johnson/profil/spieler/15997
Manchester United,Bojan Djordjic,22,Sweden,Left Winger,LW,-,Red Star Belgrade,Serbia,"End of loanMay 31, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/bojan-djordjic/profil/spieler/3659
Manchester United,Chris Eagles,17,England,Right Winger,RW,-,Manchester United U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/chris-eagles/profil/spieler/24635
Manchester United,Luke Chadwick,23,England,Attacking Midfield,AM,-,Burnley FC,England,"End of loanMay 1, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/luke-chadwick/profil/spieler/3658
Manchester United,Phil Bardsley,18,Scotland,Right-Back,RB,-,Royal Antwerp FC,Belgium,"End of loanMay 25, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/phil-bardsley/profil/spieler/15773
Manchester United,David Jones,18,England,Central Midfield,CM,-,Manchester United U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/david-jones/profil/spieler/24634
Manchester United,Phil Marsh,16,England,Centre-Forward,CF,-,Manchester United U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/phil-marsh/profil/spieler/59175
Manchester United,Neil Wood,21,England,Central Midfield,CM,-,Burnley FC,England,"End of loanMay 1, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/neil-wood/profil/spieler/11320
Manchester United,Hussein Yasser,21,Qatar,Attacking Midfield,AM,-,Royal Antwerp FC,Belgium,"End of loanMay 3, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/hussein-yasser/profil/spieler/13902
Arsenal FC,Philippe Senderos,18,Switzerland,Centre-Back,CB,-,Servette FC,Switzerland,£3.19m,In,2003,s,premier-league,https://www.transfermarkt.co.uk/philippe-senderos/profil/spieler/4277
Arsenal FC,Jens Lehmann,33,Germany,Goalkeeper,GK,-,Borussia Dortmund,Germany,£3.15m,In,2003,s,premier-league,https://www.transfermarkt.co.uk/jens-lehmann/profil/spieler/122
Arsenal FC,Cesc Fàbregas,16,Spain,Central Midfield,CM,-,FC Barcelona U16,Spain,£2.88m,In,2003,s,premier-league,https://www.transfermarkt.co.uk/cesc-fabregas/profil/spieler/8806
Arsenal FC,Gaël Clichy,18,France,Left-Back,LB,-,AS Cannes,France,£338Th.,In,2003,s,premier-league,https://www.transfermarkt.co.uk/gael-clichy/profil/spieler/7449
Arsenal FC,Daniel Karbassiyoon,18,United States,Left-Back,LB,-,Roanoke Star,United States,Free transfer,In,2003,s,premier-league,https://www.transfermarkt.co.uk/daniel-karbassiyoon/profil/spieler/9337
Arsenal FC,Michal Papadopulos,18,Czech Republic,Centre-Forward,CF,-,FC Banik Ostrava,Czech Republic,Loan,In,2003,s,premier-league,https://www.transfermarkt.co.uk/michal-papadopulos/profil/spieler/9329
Arsenal FC,Francis Jeffers,23,England,Centre-Forward,CF,-,Everton FC,England,"End of loanMay 16, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/francis-jeffers/profil/spieler/3186
Arsenal FC,David Bentley,18,England,Right Midfield,RM,-,Arsenal FC U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/david-bentley/profil/spieler/3205
Arsenal FC,Ryan Smith,16,England,Left Winger,LW,-,Arsenal FC U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/ryan-smith/profil/spieler/14552
Arsenal FC,Liam Chilvers,22,England,Centre-Back,CB,-,Colchester United,England,"End of loanMay 31, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/liam-chilvers/profil/spieler/4084
Arsenal FC,Frank Simek,18,United States,Right-Back,RB,-,Arsenal FC U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/frank-simek/profil/spieler/31313
Arsenal FC,Ólafur Ingi Skúlason,20,Iceland,Defensive Midfield,DM,-,Fylkir Reykjavík,Iceland,"End of loanAug 29, 2003",In,2003,s,premier-league,https://www.transfermarkt.co.uk/olafur-ingi-skulason/profil/spieler/9410
Arsenal FC,Jermaine Pennant,21,England,Right Winger,RW,-,Leeds United,England,"End of loanMay 31, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/jermaine-pennant/profil/spieler/3195
Arsenal FC,Júan,21,Brazil,Attacking Midfield,AM,-,Millwall FC,England,"End of loanSep 1, 2003",In,2003,s,premier-league,https://www.transfermarkt.co.uk/juan/profil/spieler/7336
Arsenal FC,John Halls,21,England,Defensive Midfield,DM,-,KSK Beveren,Belgium,"End of loanJun 30, 2003",In,2003,s,premier-league,https://www.transfermarkt.co.uk/john-halls/profil/spieler/3556
Arsenal FC,Graham Barrett,21,Ireland,Centre-Forward,CF,-,Brighton & Hove Albion,England,"End of loanJun 30, 2003",In,2003,s,premier-league,https://www.transfermarkt.co.uk/graham-barrett/profil/spieler/3290
Arsenal FC,Graham Stack,21,Ireland,Goalkeeper,GK,-,KSK Beveren,Belgium,"End of loanJun 1, 2003",In,2003,s,premier-league,https://www.transfermarkt.co.uk/graham-stack/profil/spieler/3559
Arsenal FC,Stathis Tavlaridis,23,Greece,Centre-Back,CB,-,Portsmouth FC,England,"End of loanJun 30, 2003",In,2003,s,premier-league,https://www.transfermarkt.co.uk/stathis-tavlaridis/profil/spieler/3201
Newcastle United,Lee Bowyer,26,England,Central Midfield,CM,-,West Ham United,England,Free transfer,In,2003,s,premier-league,https://www.transfermarkt.co.uk/lee-bowyer/profil/spieler/3877
Newcastle United,Steven Caldwell,23,Scotland,Centre-Back,CB,-,Leeds United,England,"End of loanMay 1, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/steven-caldwell/profil/spieler/3462
Newcastle United,Andy Ferrell,19,England,Left Midfield,LM,-,Newcastle United U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/andy-ferrell/profil/spieler/47902
Newcastle United,Calvin Zola,19,DR Congo,Centre-Forward,CF,-,Oldham Athletic,England,"End of loanMay 9, 2004",In,2003,s,premier-league,https://www.transfermarkt.co.uk/calvin-zola/profil/spieler/3269
Newcastle United,Martin Brittain,18,England,Right Midfield,RM,-,Newcastle United U18,England,-,In,2003,s,premier-league,https://www.transfermarkt.co.uk/martin-brittain/profil/spieler/22221
