Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Atlético Madrid,Martin Petrov,26,Bulgaria,Left Winger,LW,£6.30m,VfL Wolfsburg,Germany,£9.00m,In,2005,s,laliga,https://www.transfermarkt.co.uk/martin-petrov/profil/spieler/670
Atlético Madrid,Mateja Kezman,26,Serbia,Centre-Forward,CF,£12.15m,Chelsea FC,England,£8.10m,In,2005,s,laliga,https://www.transfermarkt.co.uk/mateja-kezman/profil/spieler/4358
Atlético Madrid,Maxi Rodríguez,24,Argentina,Left Winger,LW,£6.30m,RCD Espanyol Barcelona,Spain,£4.50m,In,2005,s,laliga,https://www.transfermarkt.co.uk/maxi-rodriguez/profil/spieler/7895
Atlético Madrid,Luciano Galletti,25,Argentina,Right Winger,RW,£1.80m,Real Zaragoza,Spain,£2.25m,In,2005,s,laliga,https://www.transfermarkt.co.uk/luciano-galletti/profil/spieler/7978
Atlético Madrid,Juan Valera,20,Spain,Right-Back,RB,£45Th.,Real Murcia CF,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/juan-valera/profil/spieler/16595
Atlético Madrid,Kiki Musampa,28,Netherlands,Left Winger,LW,£3.15m,Manchester City,England,"End of loanMay 1, 2006",In,2005,s,laliga,https://www.transfermarkt.co.uk/kiki-musampa/profil/spieler/7787
Atlético Madrid,Mario Suárez,18,Spain,Defensive Midfield,DM,-,Atlético Madrid B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/mario-suarez/profil/spieler/37337
Atlético Madrid,Roberto,19,Spain,Goalkeeper,GK,-,Atlético Madrid B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/roberto/profil/spieler/37403
Atlético Madrid,Manu del Moral,21,Spain,Centre-Forward,CF,-,Atlético Madrid B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/manu-del-moral/profil/spieler/37399
Atlético Madrid,Sergio Aragoneses,28,Spain,Goalkeeper,GK,-,Getafe CF,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/sergio-aragoneses/profil/spieler/27492
Atlético Madrid,Gabi,21,Spain,Defensive Midfield,DM,£180Th.,Getafe CF,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/gabi/profil/spieler/22969
Atlético Madrid,Iván Romero,24,Spain,Left-Back,LB,-,Club Polideportivo Ejido,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/ivan-romero/profil/spieler/57899
Atlético Madrid,Javier Pinola,22,Argentina,Centre-Back,CB,£450Th.,Racing Club,Argentina,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/javier-pinola/profil/spieler/7358
Atlético Madrid,Veljko Paunovic,27,Serbia,Centre-Forward,CF,£1.80m,Hannover 96,Germany,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/veljko-paunovic/profil/spieler/7364
Atlético Madrid,Cosmin Contra,29,Romania,Right-Back,RB,-,Poli AEK,Romania,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/cosmin-contra/profil/spieler/5808
Atlético Madrid,Javier Arizmendi,21,Spain,Centre-Forward,CF,£1.35m,Racing Santander,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/javier-arizmendi/profil/spieler/25411
Atlético Madrid,Toché,22,Spain,Centre-Forward,CF,£540Th.,CD Numancia,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/toche/profil/spieler/22586
FC Barcelona,Mark van Bommel,28,Netherlands,Defensive Midfield,DM,£10.80m,PSV Eindhoven,Netherlands,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/mark-van-bommel/profil/spieler/3515
FC Barcelona,Santiago Ezquerro,28,Spain,Centre-Forward,CF,£1.80m,Athletic Bilbao,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/santiago-ezquerro/profil/spieler/7639
FC Barcelona,Lionel Messi,18,Argentina,Right Winger,RW,£2.70m,FC Barcelona B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/lionel-messi/profil/spieler/28003
FC Barcelona,Fábio Rochemback,23,Brazil,Central Midfield,CM,£7.20m,Sporting CP,Portugal,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/fabio-rochemback/profil/spieler/7606
FC Barcelona,Sergio García,22,Spain,Centre-Forward,CF,£2.25m,Levante UD,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/sergio-garcia/profil/spieler/7922
FC Barcelona,Óscar López,25,Spain,Right-Back,RB,£1.13m,SS Lazio,Italy,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/oscar-lopez/profil/spieler/7921
FC Barcelona,Javier Saviola,23,Argentina,Second Striker,SS,£10.35m,AS Monaco,France,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/javier-saviola/profil/spieler/7611
FC Barcelona,Ros,24,Spain,Defensive Midfield,DM,£810Th.,CD Numancia,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/rostm/profil/spieler/7918
Real Zaragoza,Ewerthon,24,Brazil,Centre-Forward,CF,£10.80m,Borussia Dortmund,Germany,£3.15m,In,2005,s,laliga,https://www.transfermarkt.co.uk/ewerthon/profil/spieler/1396
Real Zaragoza,Diego Milito,26,Argentina,Centre-Forward,CF,£2.25m,Genoa CFC,Italy,Loan fee:£1.80m,In,2005,s,laliga,https://www.transfermarkt.co.uk/diego-milito/profil/spieler/22202
Real Zaragoza,Sergio García,22,Spain,Centre-Forward,CF,£2.25m,FC Barcelona,Spain,£1.35m,In,2005,s,laliga,https://www.transfermarkt.co.uk/sergio-garcia/profil/spieler/7922
Real Zaragoza,Albert Celades,29,Spain,Defensive Midfield,DM,£3.15m,Real Madrid,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/albert-celades/profil/spieler/7521
Real Zaragoza,César Sánchez,33,Spain,Goalkeeper,GK,£1.58m,Real Madrid,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/cesar-sanchez/profil/spieler/7510
Real Zaragoza,Raúl Valbuena,30,Spain,Goalkeeper,GK,£135Th.,Albacete Balompié,Spain,?,In,2005,s,laliga,https://www.transfermarkt.co.uk/raul-valbuena/profil/spieler/7911
Real Zaragoza,Piti,24,Spain,Attacking Midfield,AM,-,Real Zaragoza B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/piti/profil/spieler/58076
Real Zaragoza,Ángel Lafita,20,Spain,Left Winger,LW,-,Real Zaragoza B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/angel-lafita/profil/spieler/35562
Real Zaragoza,Capi,24,Spain,Centre-Back,CB,£360Th.,Real Zaragoza B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/capi/profil/spieler/26147
Real Zaragoza,Chus Herrero,21,Spain,Centre-Back,CB,-,Real Zaragoza B,Spain,-,In,2005,s,laliga,https://www.transfermarkt.co.uk/chus-herrero/profil/spieler/35561
Real Zaragoza,Corona,24,Spain,Central Midfield,CM,£2.70m,Club Polideportivo Ejido,Spain,"End of loanJun 30, 2005",In,2005,s,laliga,https://www.transfermarkt.co.uk/corona/profil/spieler/7945
Real Betis Balompié,Alberto Rivera,27,Spain,Central Midfield,CM,£720Th.,Levante UD,Spain,£3.15m,In,2005,s,laliga,https://www.transfermarkt.co.uk/alberto-rivera/profil/spieler/23306
Real Betis Balompié,Miguel Ángel,26,Spain,Defensive Midfield,DM,£1.80m,Málaga CF,Spain,£1.80m,In,2005,s,laliga,https://www.transfermarkt.co.uk/miguel-angel/profil/spieler/7786
Real Betis Balompié,Nano,24,Spain,Centre-Back,CB,£90Th.,Getafe CF,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/nano/profil/spieler/22974
Real Betis Balompié,Juanlu,25,Spain,Left Midfield,LM,£270Th.,CD Numancia,Spain,Free transfer,In,2005,s,laliga,https://www.transfermarkt.co.uk/juanlu/profil/spieler/22568
