Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Bayern Munich,Lukas Podolski,21,Germany,Second Striker,SS,£10.80m,1. FC Köln,Germany,£9.00m,In,2006,s,1-bundesliga
Bayern Munich,Daniel Van Buyten,28,Belgium,Centre-Back,CB,£12.60m,Hamburger SV,Germany,£7.20m,In,2006,s,1-bundesliga
Bayern Munich,Mark van Bommel,29,Netherlands,Defensive Midfield,DM,£10.80m,FC Barcelona,Spain,£5.40m,In,2006,s,1-bundesliga
Bayern Munich,Stephan Fürstner,18,Germany,Central Midfield,CM,£180Th.,FC Bayern Munich II,Germany,-,In,2006,s,1-bundesliga
Bayern Munich,Christian Lell,21,Germany,Right-Back,RB,£900Th.,1. FC Köln,Germany,"End of loanJun 30, 2006",In,2006,s,1-bundesliga
SV Werder Bremen,Diego,21,Brazil,Attacking Midfield,AM,£7.20m,FC Porto,Portugal,£5.40m,In,2006,s,1-bundesliga
SV Werder Bremen,Per Mertesacker,21,Germany,Centre-Back,CB,£9.00m,Hannover 96,Germany,£4.23m,In,2006,s,1-bundesliga
SV Werder Bremen,Hugo Almeida,22,Portugal,Centre-Forward,CF,£2.25m,FC Porto,Portugal,Loan fee:£900Th.,In,2006,s,1-bundesliga
SV Werder Bremen,Christian Vander,25,Germany,Goalkeeper,GK,£270Th.,VfL Bochum,Germany,£180Th.,In,2006,s,1-bundesliga
SV Werder Bremen,Clemens Fritz,25,Germany,Central Midfield,CM,£2.25m,Bayer 04 Leverkusen,Germany,Free transfer,In,2006,s,1-bundesliga
SV Werder Bremen,Pierre Womé,27,Cameroon,Left-Back,LB,£4.50m,FC Internazionale,Italy,Free transfer,In,2006,s,1-bundesliga
SV Werder Bremen,John Jairo Mosquera,18,Colombia,Centre-Forward,CF,£450Th.,SönderjyskE,Denmark,"End of loanJun 30, 2006",In,2006,s,1-bundesliga
SV Werder Bremen,Mohamed Zidan,24,Egypt,Second Striker,SS,£3.42m,1.FSV Mainz 05,Germany,"End of loanJun 30, 2006",In,2006,s,1-bundesliga
Hamburger SV,Vincent Kompany,20,Belgium,Centre-Back,CB,£12.15m,RSC Anderlecht,Belgium,£9.45m,In,2006,s,1-bundesliga
Hamburger SV,Joris Mathijsen,26,Netherlands,Centre-Back,CB,£5.40m,AZ Alkmaar,Netherlands,£5.40m,In,2006,s,1-bundesliga
