Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Olympique Lyon,Abdul Kader Keita,25,Cote d'Ivoire,Right Winger,RW,£16.20m,LOSC Lille,France,£15.12m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/abdul-kader-keita/profil/spieler/33366
Olympique Lyon,Fabio Grosso,29,Italy,Left-Back,LB,£7.65m,FC Internazionale,Italy,£7.83m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/fabio-grosso/profil/spieler/6091
Olympique Lyon,Mathieu Bodmer,24,France,Defensive Midfield,DM,£9.00m,LOSC Lille,France,£6.12m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/mathieu-bodmer/profil/spieler/27305
Olympique Lyon,Anderson,27,Brazil,Centre-Back,CB,£2.34m,SL Benfica,Portugal,£3.87m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/anderson/profil/spieler/30083
Olympique Lyon,Nadir Belhadj,25,Algeria,Left-Back,LB,£3.60m,CS Sedan-Ardennes,France,£2.97m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/nadir-belhadj/profil/spieler/23892
Olympique Lyon,Frédéric Roux,34,France,Goalkeeper,GK,£720Th.,AC Ajaccio,France,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/frederic-roux/profil/spieler/5365
Olympique Lyon,Milan Baros,26,Czech Republic,Centre-Forward,CF,£4.95m,Portsmouth FC,England,"End of loanMay 31, 2008",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/milan-baros/profil/spieler/3216
Olympique Lyon,Anthony Mounier,19,France,Left Winger,LW,-,Olympique Lyon B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/anthony-mounier/profil/spieler/57110
Olympique Lyon,Sandy Paillot,20,France,Centre-Back,CB,-,Olympique Lyon B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/sandy-paillot/profil/spieler/57114
Olympique Lyon,Rémy Riou,19,France,Goalkeeper,GK,£315Th.,FC Lorient,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/remy-riou/profil/spieler/18940
Olympique Lyon,Yacine Hima,23,Algeria,Central Midfield,CM,£270Th.,FC Aarau,Switzerland,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/yacine-hima/profil/spieler/18903
Olympique Marseille,Djibril Cissé,25,France,Centre-Forward,CF,£12.15m,Liverpool FC,England,£8.10m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/djibril-cisse/profil/spieler/3966
Olympique Marseille,Karim Ziani,24,Algeria,Attacking Midfield,AM,£4.95m,FC Sochaux-Montbéliard,France,£7.20m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/karim-ziani/profil/spieler/25976
Olympique Marseille,Gaël Givet,25,France,Centre-Back,CB,£5.85m,AS Monaco,France,£4.50m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/gael-givet/profil/spieler/5286
Olympique Marseille,Benoît Cheyrou,26,France,Defensive Midfield,DM,£4.50m,AJ Auxerre,France,£4.50m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/benoit-cheyrou/profil/spieler/5645
Olympique Marseille,Vincent Gragnic,24,France,Attacking Midfield,AM,£360Th.,FC Libourne-Saint-Seurin,France,£720Th.,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/vincent-gragnic/profil/spieler/23932
Olympique Marseille,Laurent Bonnart,27,France,Right-Back,RB,£1.80m,Le Mans Union Club 72,France,£450Th.,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/laurent-bonnart/profil/spieler/23898
Olympique Marseille,Steve Mandanda,22,France,Goalkeeper,GK,£405Th.,AC Le Havre,France,Loan fee:£360Th.,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/steve-mandanda/profil/spieler/23951
Olympique Marseille,Jacques Faty,23,Senegal,Centre-Back,CB,£2.70m,Stade Rennais FC,France,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/jacques-faty/profil/spieler/12387
Olympique Marseille,Boudewijn Zenden,30,Netherlands,Left Winger,LW,£3.42m,Liverpool FC,England,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/boudewijn-zenden/profil/spieler/3173
Olympique Marseille,Milos Krstic,20,Serbia,Attacking Midfield,AM,-,FK Rad,Serbia,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/milos-krstic/profil/spieler/46865
Olympique Marseille,Matt Moussilou,25,Congo,Centre-Forward,CF,£2.16m,OGC Nice,France,Loan,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/matt-moussilou/profil/spieler/5654
Olympique Marseille,Bostjan Cesar,25,Slovenia,Centre-Back,CB,£1.80m,West Bromwich Albion,England,"End of loanMay 1, 2008",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/bostjan-cesar/profil/spieler/24606
Olympique Marseille,Pape M'Bow,19,Senegal,Centre-Back,CB,-,Olympique de Marseille B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/pape-mbow/profil/spieler/56796
Olympique Marseille,André Ayew,17,Ghana,Left Winger,LW,-,Olympique de Marseille B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/andre-ayew/profil/spieler/45403
Olympique Marseille,Rahmane Barry,20,Senegal,Second Striker,SS,£360Th.,FC Lorient,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/rahmane-barry/profil/spieler/20547
Olympique Marseille,Christian Giménez,32,Argentina,Centre-Forward,CF,£3.15m,Hertha BSC,Germany,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/christian-gimenez/profil/spieler/2898
Olympique Marseille,Habib Bamogo,25,Burkina Faso,Second Striker,SS,£2.52m,Celta de Vigo,Spain,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/habib-bamogo/profil/spieler/3912
Olympique Marseille,Fabrice Begeorgi,20,France,Left-Back,LB,£135Th.,FC Libourne-Saint-Seurin,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/fabrice-begeorgi/profil/spieler/36911
Olympique Marseille,Fabrice Fiorèse,31,France,Right Winger,RW,£900Th.,FC Lorient,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/fabrice-fiorese/profil/spieler/5572
Olympique Marseille,Leyti N'Diaye,21,Senegal,Centre-Back,CB,£405Th.,RC Strasbourg Alsace,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/leyti-ndiaye/profil/spieler/18894
Olympique Marseille,Thomas Deruda,20,France,Central Midfield,CM,£450Th.,FC Libourne-Saint-Seurin,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/thomas-deruda/profil/spieler/38357
Olympique Marseille,Medhi Benatia,20,Morocco,Centre-Back,CB,£90Th.,Tours FC,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/medhi-benatia/profil/spieler/45124
FC Toulouse,André-Pierre Gignac,21,France,Centre-Forward,CF,£1.80m,FC Lorient,France,£4.05m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/andre-pierre-gignac/profil/spieler/43907
FC Toulouse,Hérita Ilunga,25,DR Congo,Left-Back,LB,£3.15m,AS Saint-Étienne,France,£1.80m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/herita-ilunga/profil/spieler/17432
FC Toulouse,Jon Jönsson,23,Sweden,Centre-Back,CB,£788Th.,IF Elfsborg,Sweden,£1.44m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/jon-jonsson/profil/spieler/18779
FC Toulouse,Alan Mermillod,22,France,Goalkeeper,GK,£90Th.,AS Saint-Étienne,France,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/alan-mermillod/profil/spieler/33924
FC Toulouse,Rudy Riou,27,France,Goalkeeper,GK,£720Th.,FC Istres Ouest Provence ,France,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/rudy-riou/profil/spieler/5687
FC Toulouse,Mauro Cetto,25,Argentina,Centre-Back,CB,£1.80m,FC Nantes,France,Loan,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/mauro-cetto/profil/spieler/5501
FC Toulouse,Moussa Sissoko,17,France,Central Midfield,CM,£135Th.,FC Toulouse B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/moussa-sissoko/profil/spieler/46001
FC Toulouse,Étienne Capoue,18,France,Defensive Midfield,DM,-,FC Toulouse U19,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/etienne-capoue/profil/spieler/63494
FC Toulouse,Kévin Dupuis,20,France,Centre-Forward,CF,-,FC Toulouse B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/kevin-dupuis/profil/spieler/56780
FC Toulouse,Cheikh M'Bengue,18,Senegal,Left-Back,LB,-,FC Toulouse B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/cheikh-mbengue/profil/spieler/56795
FC Toulouse,Alsény Camara,20,Guinea,Centre-Back,CB,-,FC Toulouse B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/alseny-camara/profil/spieler/35786
FC Toulouse,Jean-Louis Akpa Akpro,22,France,Centre-Forward,CF,£630Th.,Stade Brest 29,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/jean-louis-akpa-akpro/profil/spieler/28239
FC Toulouse,Benjamin Psaume,22,France,Right Winger,RW,£1.13m,Nîmes Olympique,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/benjamin-psaume/profil/spieler/27116
FC Toulouse,Santos,28,Tunisia,Centre-Forward,CF,£1.17m,FC Zürich,Switzerland,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/santos/profil/spieler/5412
FC Toulouse,Nabil Taïder,24,Tunisia,Central Midfield,CM,£630Th.,FC Lorient,France,"End of loanJun 30, 2007",In,2007,s,ligue-1,https://www.transfermarkt.co.uk/nabil-taider/profil/spieler/7019
Stade Rennais FC,Emerson,28,Qatar,Left Winger,LW,-,Al Sadd Sports Club,Qatar,£4.50m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/emerson/profil/spieler/57159
Stade Rennais FC,Rod Fanni,25,France,Right-Back,RB,£2.25m,OGC Nice,France,£3.15m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/rod-fanni/profil/spieler/5477
Stade Rennais FC,Sylvain Wiltord,33,France,Second Striker,SS,£4.50m,Olympique Lyon,France,£1.44m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/sylvain-wiltord/profil/spieler/3188
Stade Rennais FC,Mickaël Pagis,33,France,Second Striker,SS,£2.25m,Olympique Marseille,France,£1.08m,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/mickael-pagis/profil/spieler/5411
Stade Rennais FC,Petter Hansson,30,Sweden,Centre-Back,CB,£2.93m,SC Heerenveen,Netherlands,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/petter-hansson/profil/spieler/6854
Stade Rennais FC,Jérôme Leroy,32,France,Attacking Midfield,AM,£2.70m,FC Sochaux-Montbéliard,France,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/jerome-leroy/profil/spieler/5563
Stade Rennais FC,Patrice Luzi,26,France,Goalkeeper,GK,£450Th.,RSC Charleroi,Belgium,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/patrice-luzi/profil/spieler/3595
Stade Rennais FC,Fabrice Catherine,34,France,Goalkeeper,GK,-,Tours FC,France,Free transfer,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/fabrice-catherine/profil/spieler/45125
Stade Rennais FC,Fabien Lemoine,20,France,Defensive Midfield,DM,-,FC Stade Rennes B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/fabien-lemoine/profil/spieler/56794
Stade Rennais FC,Bira Dembélé,19,France,Centre-Back,CB,-,FC Stade Rennes B,France,-,In,2007,s,ligue-1,https://www.transfermarkt.co.uk/bira-dembele/profil/spieler/60529
