Club,Name,Age,Nat.,Position,Pos,Market value,Club involved,Country involved,Fee,Movement,Season,Window,League
Manchester United,Marouane Fellaini,25,Belgium,Central Midfield,CM,£25.20m,Everton FC,England,£29.16m,In,2013,s,premier-league
Manchester United,Nick Powell,20,England,Attacking Midfield,AM,£4.50m,Wigan Athletic,England,"End of loanMay 31, 2014",In,2013,s,premier-league
Manchester United,Will Keane,21,England,Centre-Forward,CF,£270k,Queens Park Rangers,England,"End of loanMay 31, 2014",In,2013,s,premier-league
Manchester United,Michael Keane,21,England,Centre-Back,CB,£450k,Blackburn Rovers,England,"End of loanMay 5, 2014",In,2013,s,premier-league
Manchester United,Tom Thorpe,20,England,Centre-Back,CB,-,Manchester United U23,England,-,In,2013,s,premier-league
Manchester United,Reece James,19,England,Left-Back,LB,-,Carlisle United,England,"End of loanSep 24, 2013",In,2013,s,premier-league
Manchester United,Sam Johnstone,21,England,Goalkeeper,GK,£225k,Doncaster Rovers,England,"End of loanMay 31, 2014",In,2013,s,premier-league
Manchester United,Jesse Lingard,21,England,Right Winger,RW,£900k,Brighton & Hove Albion,England,"End of loanMay 31, 2014",In,2013,s,premier-league
Manchester United,Adnan Januzaj,18,Belgium,Right Winger,RW,-,Manchester United U18,England,-,In,2013,s,premier-league
Manchester United,Sam Johnstone,20,England,Goalkeeper,GK,£225k,Yeovil Town,England,"End of loanAug 21, 2013",In,2013,s,premier-league
Manchester United,Wilfried Zaha,21,Cote d'Ivoire,Right Winger,RW,£7.20m,Cardiff City,England,"End of loanMay 31, 2014",In,2013,s,premier-league
Manchester United,Tom Thorpe,21,England,Centre-Back,CB,£180k,Birmingham City,England,"End of loanMay 31, 2014",In,2013,s,premier-league
Manchester United,Davide Petrucci,22,Italy,Central Midfield,CM,-,Charlton Athletic,England,"End of loanMay 31, 2014",In,2013,s,premier-league
Manchester United,Will Keane,20,England,Centre-Forward,CF,-,Manchester United U23,England,-,In,2013,s,premier-league
Manchester United,Bebé,22,Portugal,Left Winger,LW,£900k,Rio Ave FC,Portugal,"End of loanJun 30, 2013",In,2013,s,premier-league
Manchester United,Federico Macheda,21,Italy,Centre-Forward,CF,£2.25m,VfB Stuttgart,Germany,"End of loanJun 30, 2013",In,2013,s,premier-league
Manchester City,Fernandinho,28,Brazil,Defensive Midfield,DM,£28.80m,Shakhtar Donetsk,Ukraine,£36.00m,In,2013,s,premier-league
Manchester City,Stevan Jovetic,23,Montenegro,Centre-Forward,CF,£25.20m,ACF Fiorentina,Italy,£23.40m,In,2013,s,premier-league
Manchester City,Álvaro Negredo,27,Spain,Centre-Forward,CF,£18.00m,Sevilla FC,Spain,£22.50m,In,2013,s,premier-league
Manchester City,Jesús Navas,27,Spain,Right-Back,RB,£18.00m,Sevilla FC,Spain,£18.00m,In,2013,s,premier-league
Manchester City,Martín Demichelis,32,Argentina,Centre-Back,CB,£2.70m,Atlético Madrid,Spain,£4.50m,In,2013,s,premier-league
Manchester City,Scott Sinclair,25,England,Left Winger,LW,£5.40m,West Bromwich Albion,England,"End of loanMay 31, 2014",In,2013,s,premier-league
